,Gross claims incurred (£m),Gross claims incurred (£m),Gross claims incurred (£m),Gross claims incurred (£m),Gross claims incurred (£m),"Gross BEL (inc. TPs as whole, pre-TMTP) (£m)","Gross BEL (inc. TPs as whole, pre-TMTP) (£m)","Gross BEL (inc. TPs as whole, pre-TMTP) (£m)","Gross BEL (inc. TPs as whole, pre-TMTP) (£m)","Gross BEL (inc. TPs as whole, pre-TMTP) (£m)","Net BEL (inc. TPs as a whole, pre-TMTP) (£m)","Net BEL (inc. TPs as a whole, pre-TMTP) (£m)","Net BEL (inc. TPs as a whole, pre-TMTP) (£m)","Net BEL (inc. TPs as a whole, pre-TMTP) (£m)","Net BEL (inc. TPs as a whole, pre-TMTP) (£m)",Pure net claims ratio,Pure net claims ratio,Pure net claims ratio,Pure net claims ratio,Pure net claims ratio,Net expense ratio,Net expense ratio,Net expense ratio,Net expense ratio,Net expense ratio,Net combined ratio,Net combined ratio,Net combined ratio,Net combined ratio,Net combined ratio,Pure gross claims ratio,Pure gross claims ratio,Pure gross claims ratio,Pure gross claims ratio,Pure gross claims ratio,Gross expense ratio,Gross expense ratio,Gross expense ratio,Gross expense ratio,Gross expense ratio,Gross combined ratio,Gross combined ratio,Gross combined ratio,Gross combined ratio,Gross combined ratio,
Firm 58,0,18.32442527,7.656798281,29.27621312,34.23807428,0,27.470758,84.95711254,19.45345171,39.69078451,0,0.96783571,1.31539622,0.419875701,-0.029842227,0,0.132195908,0.200003716,0.011016672,0.231319753,0,0.038145632,0.288203272,0.653991405,1.387094953,0,0.695560638,0.895521113,0.542766102,0.973119269,0,0.030841494,0.495395719,1.41100592,0.469447029,0,0.508431501,0.164074608,0.249673769,0.851683104,0,0.765816167,0.776771669,0.83664422,0.137128129,
Firm 59,67.77631054,40.86794499,82.31147555,84.22652122,69.63939735,130.9490077,27.75239722,104.4351966,177.187362,78.90925963,8.934542316,142.3742779,39.50876769,118.6999583,54.54190481,0.107045836,0.474264717,0.580840955,0.009890305,0.057405612,0.476110069,0.201812575,0.053969487,0.655479301,0.26029675,1.073131229,0.427106825,0.368173922,1.39498356,0.272725254,0.202581203,0.656154485,0.570907682,0.416351875,0.559579762,0.134839931,0.076234351,0.400112704,0.612712522,0.489472432,0.254058563,0.746835642,0.137360746,1.683723674,0.982245897,
Firm 60,69.62652365,30.84328767,296.4822321,104.5632621,33.10007422,210.4666837,192.5494545,59.28317924,495.8880776,74.96940665,12.96629455,194.0685784,89.90229237,191.4423631,495.8918426,0.50332103,1.067910676,0.057504092,1.140040425,1.040255666,0.490846083,0.204001307,0.738464872,0.003559887,0.10596499,0.908068685,1.17448905,1.819910183,0.655040097,0.05962935,0.152707825,0.683279493,0.071334205,1.074168117,0.122156974,0.564088038,0.539532492,0.14252824,0.333015339,0.240204429,0.164697302,1.215122303,0.357026432,0.230555302,0.628845275,
Firm 61,114.8749306,21.90850792,1.204856225,0,0,326.0287046,52.69967176,222.0945548,0,0,201.1069618,36.719005,66.25635374,0,0,0.900345869,0.886755256,3.013950237,0,0,0.009615348,0.395395064,0.283536967,0,0,1.354959273,0.252353525,2.70919997,0,0,1.217448724,0.96449882,3.009524294,0,0,0.320230842,0.336650552,0.275311503,0,0,1.936715927,0.703010286,3.119979104,0,0,
Firm 62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 63,0,3.307236024,152.6997115,27.9273743,31.33918914,0,221.0936114,307.1575322,49.81721182,351.5744569,0,122.4162154,35.99706112,283.3297543,89.86973644,0,0.008191103,0.675483994,0.949815777,0.89757225,0,0.018112913,0.287842348,0.044671149,0.498140599,0,1.649103692,0.545228642,0.699788441,0.946401486,0,0.757351465,1.147368851,1.049512308,0.184029886,0,0.043509651,0.326768886,0.011535099,0.15983032,0,1.459065517,0.034741062,0.767964284,1.841926991,
Firm 64,-4.337689324,-0.055106888,-7.348928933,-0.020886939,-34.37923966,108.3154086,97.90097564,1.82152761,146.5384099,208.7443408,16.59191187,20.68160574,5.330103882,8.122935084,1.472128441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 65,0,0,0,18.17798361,5.78715795,0,0,0,20.48948732,2.249204317,0,0,0,24.4667937,21.71400664,0,0,0,0.681937703,0.712404823,0,0,0,0.096760065,0.119564955,0,0,0,1.815984964,1.225695386,0,0,0,0.702487347,0.25910493,0,0,0,0.156658854,0.186841578,0,0,0,1.809304748,0.866131261,
Firm 66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 68,0,0.171758562,8.570428424,1.940603523,0.670508216,0,16.23327416,0.144632887,22.62102016,19.30747912,0,7.683282234,11.32003326,2.919080681,12.95431996,0,0.052361628,0.582902595,0.268543212,-0.242888104,0,0.717575312,0.854294199,1.823547682,1.245447071,0,0.047122067,1.477036809,1.33737165,1.454159428,0,0.021935167,0.827434417,1.207557739,0.759334447,0,0.207674911,0.603925434,1.081838512,1.055193938,0,0.390730302,1.038347475,2.624537209,2.127711045,
Firm 69,-7.800922885,-63.26720197,0,0,0,104.6941968,16.37304169,0,0,0,154.7503095,151.4357092,0,0,0,36.08075989,-9.89854725,0,0,0,-5.352803329,2.955492565,0,0,0,6.655192891,-0.806887231,0,0,0,29.12770283,8.321172668,0,0,0,-6.260958698,-0.619711769,0,0,0,33.64032884,2.708305106,0,0,0,
Firm 70,-1.277983288,-0.047329516,0,0,0,39.05401525,0,0,0,0,24.81713659,0,0,0,0,-306.2822449,177.4698175,0,0,0,363.730482,388.6273409,0,0,0,8.06354566,3157.376935,0,0,0,-273.4971944,-9.040301401,0,0,0,131.2218572,312.5011505,0,0,0,45.32144227,1304.406835,0,0,0,
Firm 71,0,0,0,6.299097566,13.7934902,0,0,0,-5.790523313,77.31780019,0,0,0,33.16851203,287.8743,0,0,0,0.311248272,0.207559446,0,0,0,2.780310211,0.793733253,0,0,0,3.775989133,0.347315988,0,0,0,0.388403196,0.554217468,0,0,0,2.045394083,0.81451001,0,0,0,3.504535848,1.095397208,
Firm 72,-0.614129893,0.942710165,3.140466128,1.004291291,1.647556421,27.26113066,23.79537194,5.018674006,1.338682649,0.123556327,6.862080705,12.72352046,13.59823399,3.886275305,8.621139775,-52.28797688,-2.960621671,104.7640722,43.78827358,33.94156046,49.19892138,-5.084477306,3.34835578,3.256691317,17.36710815,114.2656659,-17.82405765,31.51239846,36.07218742,15.85781907,86.23673066,1742.532467,216.9733161,285.6501291,317.7790978,-154.2044364,104.1378006,7.204891031,92.21317806,48.89943209,12.18763405,1271.463775,48.15150076,330.5882189,137.0388943,
Firm 73,0,0,18.30892593,49.72308291,167.1977256,0,0,59.00271036,94.08042419,84.49911811,0,0,7.257101631,84.2796661,43.36929052,0,0,0.686451917,1.060969807,0.687330506,0,0,0.162956632,0.165230746,0.571696904,0,0,2.709737945,1.473622507,0.785478673,0,0,1.709910779,1.11298195,0.87075728,0,0,0.147555245,0.289674617,0.491819816,0,0,0.846490159,0.658037278,1.773572816,
Firm 74,384.8280128,1645.533721,1494.0327,1129.313563,390.2811556,1642.266352,1904.810587,2848.724328,2080.658765,1614.177155,1202.018314,156.8782929,640.7194296,573.0975424,2037.166329,0.617842427,0.636932726,0.308646334,1.131723809,1.35554684,0.472029521,0.415803574,0.167625356,0.002129612,0.094639738,0.530905261,1.819316043,1.302656674,1.262641816,0.383126739,0.27573903,0.07422141,0.650956017,0.276144024,0.934274481,0.012996125,0.132137706,0.442532402,0.120878709,0.60814676,0.273080215,1.850009287,1.214173553,0.292129676,2.001873964,
Firm 75,0.769719966,1.043456372,1.7834827,4.605279533,3.061165547,8.91405761,12.38559029,7.027806903,4.422572116,24.87222259,7.231819382,1.184467074,5.923756908,0.883271986,2.773957852,0.224545508,0.067804227,0.464174479,0.799491831,0.338169636,1.30911023,1.402116731,0.431954973,0.282218621,0.14935346,0.109199344,0.620889382,2.003803392,2.060883784,1.680131645,0.46882228,0.634974928,0.190872128,0.272239273,0.384589271,0.083591619,0.044181773,0.500376448,0.296431096,0.759713693,0.855676966,1.221748928,1.025183824,1.920553309,1.515151832,
Firm 76,0.036732847,6.323196663,3.919010901,0,0,125.6271656,168.4129016,143.0767646,15.6690498,134.4968105,50.59286941,52.63279761,27.24827053,2.149697487,119.976498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 79,80.88658629,111.3098113,86.80539657,63.1460786,59.1201791,220.9848423,0.526358366,60.28164638,21.27178797,54.5081203,126.0310221,0.515590158,30.01760722,25.96162522,24.04121949,0.488851492,0.003142825,0.057141459,0.055284097,0.494169854,0.446957939,0.297285999,0.368228897,0.489682056,0.641841515,0.756330734,0.038398622,0.10307028,0.860706763,0.714589839,0.050163444,0.012023675,0.340329073,0.37947716,0.03255631,0.005367533,0.491529038,0.140377663,0.207566515,0.641909752,0.337575137,1.213282011,1.208024439,0.868543038,1.24347713,
Firm 80,56.19830845,39.69312816,68.35331464,116.3383105,64.25569625,5.257284221,7.436915927,0.258899317,3.024929173,0.554474485,8.036798014,8.422169919,0.072215642,1.359327679,9.873760996,0.216667949,0.14561635,0.11525689,0.776699442,0.872099488,0.020331304,0.011558837,0.08966954,0.155039488,0.007845198,0.87032186,1.760927272,1.423753603,0.275946972,0.492822761,1.268994137,1.653482819,1.277314019,0.261336607,0.446996976,0.007693429,0.07914786,0.015244559,0.048911836,0.081814581,1.03508916,0.786135069,1.839281074,1.202697868,1.490072065,
Firm 81,747.6370513,1010.011366,1141.449343,1288.015406,802.3217125,2186.907652,3577.42954,1430.522651,19.30182385,789.3685423,1655.752219,1766.831033,2722.726762,993.4165358,1793.502676,0.344478561,0.167936223,0.156386246,0.425314034,0.850534102,0.411771404,0.5866769,0.345669135,0.049486895,0.140122489,1.845307598,0.38432253,0.799445987,0.666041193,1.338462664,1.56121868,0.896929543,0.959982484,0.895153875,0.052219728,0.278745287,0.32763773,0.437719024,0.661209174,0.654341983,0.176352953,1.396268914,0.669364804,0.204328766,0.183983714,
Firm 82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 83,-0.031413015,0.010888512,0.000554889,0,0,0.600265386,0.0596664,0.276472917,0,0,0.840010806,0.482389587,0.590535771,0,0,0,0.947032008,1.457380878,0,0,0,23.73169445,9.032500615,0,0,0,16.44833289,18.13183091,0,0,0,0.12132486,1.175957736,0,0,0,3.493759499,31.72089633,0,0,0,15.31162744,21.65310382,0,0,
Firm 84,9.424775863,3.059400671,77.18325247,74.37856837,23.46411242,7.025724163,67.42777959,29.53751668,6.573913075,36.26067377,25.3096845,28.62029207,76.10828176,78.63092204,101.3698367,0.215458503,0.231964376,1.505263396,0.829753356,0.136827205,0.407492773,0.199800795,0.140473594,0.150997198,0.239635648,1.03217859,1.277586069,1.555570471,1.655618115,0.84022345,0.523629505,0.369810811,0.500164535,0.324101277,0.521792547,0.499493805,0.022747427,0.176417221,0.12587369,0.013416877,0.793664035,1.958503285,0.026022678,2.247808031,0.700372367,
Firm 85,38.86451306,23.96085283,16.67529286,153.9709303,131.6557304,362.7215219,282.0789334,322.0195805,83.35866034,298.2685221,41.85760848,35.98558264,51.42912137,34.74358678,7.720017977,0.54114731,0.182420516,0.044943563,0.364799915,0.242749498,0.277103876,0.651300659,0.199611724,0.897195569,0.030062492,1.884405781,0.110265167,1.657874714,1.210434075,0.301053114,0.197786057,0.424943834,0.832602566,0.402375142,0.600112731,0.215485755,0.453991802,0.176896085,0.136801637,0.280589702,0.485748894,0.544119091,1.509550508,1.327087441,1.403563974,
Firm 86,191.5184168,285.1015584,266.2602959,302.0911614,110.0266206,248.7182772,362.7305309,653.464891,73.96258186,172.3344448,82.13860347,174.7730097,237.8861665,499.8626205,57.54543587,0.204703453,0.622771136,1.201782636,0.458864633,0.103192807,0.073920109,0.923730061,0.511714399,0.089800132,0.763711211,0.939283399,0.437113305,0.570599934,1.964119421,0.883601957,0.091201622,1.469236078,1.026847591,0.900705947,0.590781517,0.432825747,0.103836285,0.165758259,0.179207852,0.493896692,0.867602406,1.694585969,0.340597998,0.04266214,0.671438007,
Firm 87,0,11.633597,86.72693078,7.232297309,73.64179719,0,31.15565712,56.36431925,34.26695748,80.55155366,0,21.79678078,5.367074817,50.39099648,32.93217965,0,0.39644028,0.567028471,0.722075576,0.709008964,0,0.774358709,0.440413988,0.437290424,0.418239499,0,1.178333961,1.877069262,1.627750903,0.493062872,0,0.957737415,0.571092051,0.708153854,0.47985622,0,0.709419075,0.445805193,0.269481503,0.185107371,0,1.391547068,0.795094712,0.307263897,1.176869736,
Firm 88,0,0,0,0,0,0,-0.000652484,-0.00049963,-0.048156745,-0.065591779,0,-0.000994286,-7.14786E-05,-6.39142E-05,-0.037733053,0,0,0,0,0,0,1.180494088,2.842962493,4.785205713,4.975973881,0,0.188937809,25.02317748,5.639266957,5.178019705,0,0,0,0,0,0,5.114242042,13.08360892,11.02982436,5.880434893,0,0.081307758,26.0147438,10.72828969,5.731704846,
Firm 89,0,118.5229071,97.44150551,25.11186751,123.7956676,0,32.71424658,7.961526373,175.0812371,50.41279046,0,12.93239096,93.67876126,36.12719841,224.1391348,0,0.370146924,0.731532722,0.666885917,1.161174614,0,0.57172406,0.371355868,0.754798991,0.58388721,0,2.395799582,0.199412586,1.524954244,2.39285601,0,1.109334376,1.498902256,0.3318025,0.097092674,0,0.311806307,0.298478794,0.459368437,0.121918603,0,2.900355855,0.837251237,0.818213803,1.23614045,
Firm 90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 91,0,163.7341034,61.37167612,18.02821389,143.7569048,0,756.5846941,2.421062969,198.8630765,146.9232732,0,352.6132726,45.09473926,50.07319237,76.39494256,0,0.04998829,0.000196794,-0.022285031,-0.276639399,0,0.389094864,0.169509038,0.549472173,2.253361521,0,1.782953107,1.248533099,1.790721176,2.154774499,0,0.898051191,0.481088266,1.14632491,1.399838307,0,0.230202674,0.296471032,0.265147382,0.078141927,0,0.357146782,1.142624406,0.343132202,1.06798064,
Firm 92,0,3.730585191,6.396577685,10.84522768,3.223882434,0,20.44994096,101.2844204,81.2056102,0.070653613,0,67.07211881,50.88307977,18.41152331,60.42695574,0,0.391411677,0.711516228,0.589030711,0.452063621,0,0.675431851,1.6832637,1.444438639,0.523076208,0,0.916141674,0.176631611,0.361830529,2.003991054,0,0.310283481,0.724882927,0.036282108,0.006764259,0,0.101212354,0.132357644,0.732459726,0.809508967,0,1.169386134,1.456716043,1.399359581,1.18424333,
Firm 93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 94,5.59510623,22.53856599,32.60898132,1.103056222,10.79979654,-2.783691006,-0.438076342,-13.17966809,-2.811999277,-19.36707548,-1.17470278,1.000220151,4.360014169,5.54472192,9.952435718,0.411212314,0.77212064,0.56783191,0.429487021,0.525004031,0.153355645,0.22122313,0.671738117,0.351699154,0.153138704,1.844879775,1.505452539,1.527376768,0.758490497,0.125435464,1.238935668,1.299730612,0.831974913,0.788781701,0.6159735,0.268891849,0.546842222,0.504309763,0.412780643,0.159025724,0.921398249,0.575704671,1.1060636,0.366502758,0.219741135,
Firm 95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 96,415.3149072,1173.69719,134.71963,0,0,156.9143733,158.4782097,1715.338944,0,0,171.9890443,2188.394012,1082.535401,0,0,0.335213051,0.452372718,0.052945424,0,0,0.318829152,0.091185866,0.685759662,0,0,1.394615329,0.072603295,0.382241692,0,0,0.462641886,0.763138011,0.892072385,0,0,0.616411906,0.440711141,0.561194735,0,0,1.616302686,0.930159734,0.631420323,0,0,
Firm 97,50.25885373,174.3280586,136.9834421,39.46981767,90.35628072,30.62236941,78.84902369,203.3731575,161.6185991,214.9090217,21.31041173,25.51082964,97.78040148,151.4250945,174.2200526,0.83875126,0.922282176,1.343251462,0.65661893,1.656644492,0.535511044,0.151435073,0.065733806,0.274275743,0.47240854,0.717574473,1.270684468,0.169932469,0.08370627,0.204209224,1.010926515,0.650098427,1.406901653,1.351212101,0.434446889,0.255338929,0.044398288,0.282682181,0.221536029,0.19032024,1.476490042,1.018611687,0.965426084,1.746108373,0.981762366,
Firm 98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 99,116.5334478,12.18150834,3.278956333,-2.412095005,2.191648006,296.1087573,517.346887,124.9309484,392.9375681,162.6889702,486.9591423,45.49622017,27.4953776,9.857066869,28.53919009,0,-33721.02024,0,0,0,0,-7038.624063,0,0,0,0,-73450.27101,0,0,0,0,-24817.78582,75.96394303,0.833270716,1027.875327,0,-16112.40662,0.216016116,-5.835921756,1310.176452,0,-2354.862219,243.2833517,-1.2332767,2442.469233,
Firm 100,52.91833811,468.9796712,71.43365972,61.10811904,106.6797971,1153.806933,34.03362412,424.2779388,45.9052271,128.4663285,210.3116912,58.30087147,145.8744145,318.4077403,231.6801475,0.009218811,0.152104723,1.426666165,0.037679705,0.240128271,0.241361594,0.445726936,0.295784737,0.313646644,0.313412278,0.256129855,0.022974025,0.313163683,0.921624981,0.042478406,0.347536934,1.865358081,1.003816363,0.424972773,0.838694051,0.35572315,0.374440499,0.04324009,0.039222245,0.299415725,0.858371251,0.463985366,0.143005821,1.378277521,1.01396301,
Firm 101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 102,113.1508664,494.8654641,201.4269394,576.8042415,137.9733993,-28.04928427,-4.608009062,-16.43230498,-29.9167604,23.18070188,-20.96866797,-6.58640644,-8.073936403,-8.858260834,111.8156151,0.115314645,0.474162004,0.534022517,0.055387488,0.342711081,0.49879177,0.888286003,0.593994758,0.710107485,1.079380596,0.832716283,0.660434875,1.291429224,1.378593692,1.677528224,0.476028431,0.267326218,0.768778191,0.713914492,0.090084324,0.267614595,0.123199797,0.774336778,0.52045871,1.0852843,1.506229173,0.890565352,1.351557694,1.114825833,0.852865627,
Firm 103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 104,278.1565657,0,0,0,0,115.3847505,0,0,0,0,1108.951899,0,0,0,0,0.141485312,0,0,0,0,0.051576461,0,0,0,0,0.676676014,0,0,0,0,0.27483366,0,0,0,0,0.377662678,0,0,0,0,0.273447316,0,0,0,0,
Firm 105,3241.249494,4801.320297,2293.386064,3223.760583,530.5296498,10175.5246,4285.233491,7875.239861,6651.753865,8618.241189,3510.928236,307.3361467,3273.631094,5624.762725,5003.810551,0.108699546,1.220464813,0.73562151,0.616648698,1.009635631,0.079389842,0.305217047,0.031838843,0.512217166,0.865591799,1.364833843,1.437999092,1.342760698,1.785883178,1.840720295,1.022260528,1.011658747,0.782768448,0.961008801,0.721268595,0.081369879,0.545726878,0.228482701,0.549207542,0.311818581,1.444052817,0.340130724,1.647886734,0.443958921,0.983198192,
Firm 106,0.580223215,0.044306594,0.010429321,0.005859118,1.579703721,9.909707513,12.24356354,12.16381154,12.29061817,7.185743083,0.868149133,1.143073853,0.486933677,1.032477035,0.194747853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 107,0,32.01239971,106.1155751,46.33029501,99.8648334,0,35.78106751,71.69802605,60.49058049,102.9929648,0,61.11882682,143.6820727,179.8099361,174.8009042,0,0.623184143,1.479364615,1.091288378,0.6225883,0,0.360402539,0.149777917,0.24375173,0.359271712,0,1.058372786,0.442240008,1.332426701,0.473778604,0,0.952081955,0.928153382,0.848689236,0.362211924,0,0.348463482,0.168275038,0.022790574,0.023880305,0,1.061732772,1.1429754,1.293312995,0.072622473,
Firm 108,0,56.53180787,58.44019882,41.94202823,31.03410519,0,3.343858812,0.878183676,2.386303403,2.199438979,0,3.397966207,4.932729306,3.314904349,4.413388435,0,1.05505305,0.686906225,0.993266471,0.574400032,0,0.018355958,0.236718517,0.043907131,0.264018777,0,0.646188066,0.242642117,1.566351336,0.015903233,0,0.471595439,1.222503231,0.393390804,0.269481908,0,0.313265117,0.389803432,0.050131654,0.204950608,0,0.572305346,0.927753318,0.338826019,0.982479989,
Firm 109,14.04909706,2.404187893,0,0,0,6.782995684,6.943666017,0,0,0,31.59895601,15.07514724,0,0,0,0.629938884,0.008397056,0,0,0,0.498025044,0.612534822,0,0,0,0.524480663,0.683380747,0,0,0,0.661285918,0.193928942,0,0,0,0.060849982,0.437488216,0,0,0,0.28622502,0.174160414,0,0,0,
Firm 110,36.85594676,979.8021179,288.2675117,58.01338976,0.528202477,164.1741598,798.4980621,115.4658095,1059.969445,1713.155863,366.4797934,454.8178573,422.7646666,92.07393555,332.5295039,0.569034936,0.558618901,0.009668623,1.291532501,1.105712923,0.047569818,0.592185158,0.367438806,0.659327708,0.025619074,0.381578679,0.644724381,0.812059336,0.697125357,1.931319673,0.514403576,1.339594017,0.904165353,0.709530889,0.952372544,0.571902409,0.296132744,0.15146878,0.213349788,0.243802909,0.931311705,1.721746,0.059489607,0.112312382,0.072943739,
Firm 111,0.188969783,-2.25308932,-3.637826197,-0.391232589,0.742376646,63.88341326,30.22730642,18.37804395,26.5934649,51.77938108,1.892312997,5.823804388,2.233474552,3.700882075,6.412656766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 112,5493.752266,3056.395527,2976.640084,911.6815786,2296.659215,10234.89225,5745.89565,1112.357622,6033.171214,714.6684204,3552.062585,2185.438272,1924.200421,456.101651,677.6024938,-0.847239929,0.708463228,0.438340158,0.171962403,0.126553036,6.298915011,0.209012388,0.556124802,0.403841047,0.697426942,1.531801596,1.684259533,1.178852052,1.270905142,0.167558218,0.632833841,0.900014147,0.327488909,0.405733742,0.103234189,0.208396056,0.51865824,0.009163979,0.216746063,0.35865037,1.332498248,1.332566785,1.35451205,1.45655377,1.103993796,
Firm 113,2.337947054,0,0,0,0,-56.17979919,-56.66131751,0,0,0,-57.3651873,-182.3818514,0,0,0,0.062274389,0,0,0,0,0.51533348,0.409553838,0,0,0,0.745607896,0.471364154,0,0,0,0.09543907,0,0,0,0,0.72022417,0.449669519,0,0,0,1.023643415,0.211044021,0,0,0,
Firm 114,24.28619314,3.038800018,28.67843529,19.18468058,0.243284407,2.552575514,19.20591011,17.14365176,10.45515316,4.661790933,3.96524077,13.38350429,10.92072108,3.585179768,7.454796158,0.224288286,1.033849878,0.343704484,1.124843227,0.453207158,0.786683949,0.101284613,0.78828992,0.883893916,0.830675742,1.0147669,0.08259832,0.735777022,0.196692877,0.496815159,0.677610137,1.021475119,1.117721921,0.478211922,0.65804699,0.718594219,0.047343193,0.688646779,0.688941258,0.487410543,1.027820584,0.704366992,1.102515852,1.552462886,1.736381734,
Firm 115,22.96885312,27.54869459,179.7123733,156.043969,49.61727717,68.08997262,224.6062327,93.45440753,104.3120062,405.4513174,93.5261452,222.6364442,43.8937464,212.5240479,19.47307032,0.096012113,0.924743725,0.006328825,0.195679643,0.458377435,0.744656615,0.72018213,0.700434572,1.239764748,0.511603453,1.278757982,0.84845366,1.411992711,0.983167978,0.040942446,0.670889333,0.048302405,0.631892697,0.991020395,0.198726067,0.311823811,0.005217327,0.276704105,0.452187531,0.055292512,0.672938832,1.67094735,1.669566637,1.787389951,1.803980117,
Firm 116,134.6728917,417.2630927,384.2445396,134.6607856,602.4970065,130.74577,299.2775963,523.4251406,790.4154651,1418.909754,162.0046451,159.9507748,370.0520558,690.1634322,327.2945622,1.017528935,0.484967946,1.46267048,1.059237124,0.457956633,0.692677406,0.125139969,0.221319038,0.786922021,0.009220335,1.432357819,2.351378026,0.165046157,0.068096662,1.657285733,0.359852105,0.297945504,0.868602669,0.315189536,0.493339396,0.347388256,0.756859123,0.496716278,0.036212078,0.592643902,1.705373753,1.746454844,0.497096464,1.855746874,1.778305944,
Firm 117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 118,164.3051997,593.5597716,17.42804484,582.6284955,469.6637815,323.8369493,685.3833702,1019.371993,545.6144147,357.3578481,269.8079914,341.4541885,493.6876681,797.3754453,576.5393368,0.15610836,0.263123302,0.279132135,0.079308624,0.225771961,0.594665739,0.26289634,0.924218879,1.068846232,0.67287514,0.926297112,0.088983886,1.488796587,2.195697049,0.070273509,0.944847145,1.180018627,0.826553057,1.233654785,0.749278151,0.090340951,0.687726542,0.270261763,0.064478031,0.174724051,1.051195828,1.382388961,0.525985679,0.645115118,1.255953471,
Firm 119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 120,0.207877192,0.034184268,-0.169716046,0,0,0.045841854,0,0,0,0,0.049492434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 121,145.7644922,195.9685869,122.2695615,0,0,573.8840439,782.5511173,618.0643092,0,0,66.0456548,517.9212368,472.8963317,0,0,0.626302524,0.072779211,1.179894249,0,0,0.723173552,0.170751816,0.24172266,0,0,1.660126934,0.027486693,1.487630147,0,0,0.611370929,1.17145015,1.17266346,0,0,0.338263738,0.219461602,0.691856655,0,0,0.535018285,0.632680054,0.12647191,0,0,
Firm 122,5.425961132,-1.878129157,-1.162104091,-0.619066361,-0.03967628,0.42385605,3.170367338,1.180853044,3.259931101,2.256012436,11.17123713,4.974732264,0.783090293,2.352309262,0.607596595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Firm 124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
